,id,wms_sku_id,version,name,image_url,codes,dimensions_mm,weight_g,picking_preset,trajectory_preset
0,2517,898626,2,JOJO Vexta želé bonbóny s ovocnými příchutěmi,https://cdn.rohlik.cz/images/grocery/products/719131/719131-1548056309.jpg,"['8593893738232', '8593893738225']","[29, 114, 181]",84,,
1,285,898701,1,nimm2 Pomerančovo-citronová náplň,https://cdn.rohlik.cz/images/grocery/products/719815/719815-1635516969251.jpg,"['4014400908565', '4014400366709']","[26, 138, 180]",94,,
2,384,898791,1,Wrigley's Orbit žvýkačky bez cukru s peppermintovou příchutí dóza,https://cdn.rohlik.cz/images/grocery/products/720069/720069-1562572924.jpg,"['4009900412087', '4009900433266']","[80, 57, 69]",82,,
3,2947,898983,1,Bonduelle Créatif TRIO zeleninová směs,https://cdn.rohlik.cz/images/grocery/products/723237/723237-1622633802926.jpg,"['3083680685535', '3083681006285']","[85, 83, 84]",476,,
4,2192,898986,1,Bonduelle Fazole bílé v rajské omáčce pálivé,https://cdn.rohlik.cz/images/grocery/products/723241/723241-1531316798.jpg,"['3083680001793', '3083680480185']","[84, 83, 84]",492,,
5,201,898995,1,Bonduelle Vapeur Hrášek jemný,https://cdn.rohlik.cz/images/grocery/products/723257/723257-1665745893821.jpg,"['3083681032482', '3083681011746']","[75, 65, 66]",200,,
6,2538,898998,2,Bonduelle Cretif DUO zeleninová směs,https://cdn.rohlik.cz/images/grocery/products/723263/723263-1503931352.jpg,"['3083680629478', '3083680481878']","[85, 83, 84]",498,,
7,2576,899007,1,Bonduelle Vapeur Mrkev mladá,https://cdn.rohlik.cz/images/grocery/products/723287/723287-1665745843288.jpg,"['3083681032406', '3083681012507']","[75, 65, 65]",190,,
8,348,899040,1,Dr.Oetker Krtkův dort,https://cdn.rohlik.cz/images/grocery/products/723557/723557-1620904379122.jpg,"['8595072616744', '8595072607209']","[212, 143, 47]",463,,
9,2203,899106,1,Giana Rajčata loupaná celá,https://cdn.rohlik.cz/images/grocery/products/724109/724109-1476223385.jpg,"['8594012794450', '8595241520315']","[108, 73, 73]",466,,
10,442,899169,1,Lagris Rýže parboiled+indiánská,https://cdn.rohlik.cz/images/grocery/products/725105/725105-1587029916.jpg,"['48594004491266', '8594004491268']","[171, 39, 124]",518,,
11,330,899253,1,Bad Reichenhaller Alpská sůl s jódem a fluoridem,https://cdn.rohlik.cz/images/grocery/products/726773/726773-1526220932.jpg,"['4001475404603', '4001475404016']","[143, 61, 46]",516,,
12,47,899265,1,Exotic Food Zelená kari pasta,https://cdn.rohlik.cz/images/grocery/products/8791/98/726941-1430728208.jpg,"['8853662001227', '8853662005560']","[11, 120, 164]",56,,
13,153,899310,1,Kotányi Pepř bílý mletý,https://cdn.rohlik.cz/images/grocery/products/727397/727397-1468936972.jpg,"['8590132015482', '8590132115489']","[10, 103, 140]",20,,
14,699,899352,2,Podravka přísada Natur,https://cdn.rohlik.cz/images/grocery/products/727631/727631-1669646791110.jpg,"['3850104448836', '3850104248832']","[43, 129, 176]",160,,
15,2033,899376,1,Davidoff Café Espresso 57 pražená zrnková káva,https://cdn.rohlik.cz/images/grocery/products/728003/728003-1655711590202.jpg,"['4006067920271', '4046234915389']","[75, 129, 205]",502,,
16,109,899388,1,illy Espresso káva mletá,https://cdn.rohlik.cz/images/grocery/products/728165/728165-1593033151.jpg,['8003753900438'],"[144, 90, 90]",388,,
17,254,899397,1,Tassimo Jacobs Cappuccino kapsle,https://cdn.rohlik.cz/images/grocery/products/728219/728219-1563167647.jpg,"['8711000500002', '8711000500019']","[174, 151, 75]",387,,
18,134,899403,1,Jihlavanka Standard Original pražená mletá káva,https://cdn.rohlik.cz/images/grocery/products/728333/728333-1601484044.jpg,"['4006067796043', '4006067842634']","[45, 146, 223]",254,,
19,2125,899415,2,Nescafé Dolce Gusto Café au Lait,https://cdn.rohlik.cz/images/grocery/products/728583/728583-1660496571625.jpg,"['7613033174711', '7613033174704']","[122, 122, 124]",237,,
20,2250,899418,1,Nescafé Dolce Gusto Espresso Intenso,https://cdn.rohlik.cz/images/grocery/products/728595/728595-1563522725.jpg,"['7613036868068', '7613036867436']","[122, 122, 123]",193,,
21,2028,899421,2,Nescafé Dolce Gusto Latte Macchiato,https://cdn.rohlik.cz/images/grocery/products/728609/728609-1593439186.jpg,"['7613037491159', '7613037491166']","[122, 123, 124]",274,,
22,4,899439,1,Pickwick Zelený čaj variace,https://cdn.rohlik.cz/images/grocery/products/728809/728809-1564990071.jpg,"['8711000895979', '8711000895986']","[73, 63, 122]",60,,
23,2195,899448,1,Teekanne Čaj Dýchací cesty,https://cdn.rohlik.cz/images/grocery/products/728957/728957-1667980584943.jpg,"['9001475074658', '0900147547465']","[75, 79, 82]",40,,
24,2155,899451,1,Tchibo Exclusive pražená mletá káva,https://cdn.rohlik.cz/images/grocery/products/729033/729033-1568106547.jpg,"['4006067860799', '4006067860720']","[90, 49, 152]",258,,
25,685,899508,2,Racio Chlebíčky rýžové v jogurtové polevě,https://cdn.rohlik.cz/images/grocery/products/729609/729609-1474978663.jpg,"['8594000093800', '8594000093879']","[37, 94, 189]",102,,
26,2021,899748,2,Linteo Baby Dětské vlhčené ubrousky s měsíčkem lékařským 72 ks,https://cdn.rohlik.cz/images/grocery/products/743389/743389-1601535868.jpg,"['8594008876757', '8594008876573']","[64, 106, 218]",346,,
27,2813,900069,2,Bonavita Sójový  granulát,https://cdn.rohlik.cz/images/grocery/products/8791/1d/800693-1414863584.jpg,"['8594001568215', '8594001560035']","[43, 146, 199]",156,,
28,2226,900072,1,Valfrutta Rajčata loupaná,https://cdn.rohlik.cz/images/grocery/products/800833/800833-1471597314.jpg,"['8001440999147', '8001440110351']","[108, 72, 74]",450,,
29,701,900135,3,Flour Tortillas Tomato s chilli 25cm 6ks,https://cdn.rohlik.cz/images/grocery/products/8791/82/824219-1430728257.jpg,"['8594053681863', '8594053680958']","[132, 72, 99]",434,,
30,2946,900174,2,nimm2 Soft Fizzy,https://cdn.rohlik.cz/images/grocery/products/961675/961675-1635516925688.jpg,"['4014400919325', '4014400581133']","[41, 158, 165]",98,,
31,2991,900219,1,Bonduelle Bon Menu Chilli,https://cdn.rohlik.cz/images/grocery/products/1241515/1241515-1622633668846.jpg,"['3083680480208', '3083680090742']","[84, 83, 84]",510,,
32,2938,900273,2,Dr.Oetker Palačinky sypká směs,https://cdn.rohlik.cz/images/grocery/products/1286971/1286971-1617867335773.jpg,"['8595072621984', '8595072606479']","[32, 143, 211]",286,,
33,199,900279,1,Duck Fresh Discs Levandule 36ml,https://cdn.rohlik.cz/images/grocery/products/1286977/pickingImages/1286977-1638192947331.jpg,"['5000204966855', '5000204179835']","[53, 142, 182]",96,,
34,313,900312,1,Flapjack brusinka,https://cdn.rohlik.cz/images/grocery/products/1287049/1287049-1499860321.jpg,"['8594025570232', '8594025570256']","[27, 53, 139]",70,,
35,577,900354,1,Bionebio BIO Moje sušenky kakaové s kokosem,https://cdn.rohlik.cz/images/grocery/products/1287115/1287115-1611215194324.jpg,"['8594052886795', '8594052882001']","[66, 103, 165]",130,,
36,486,900357,1,Bionebio BIO Melasky - celozrnné sušenky,https://cdn.rohlik.cz/images/grocery/products/1287117/1287117-1536820745.jpg,['8594052889024'],"[74, 110, 162]",138,,
37,140,900435,1,Lagris Fazole červená,https://cdn.rohlik.cz/images/grocery/products/1287331/1287331-1587029799.jpg,"['18594004492255', '8594004492258']","[59, 90, 153]",485,,
38,2189,900438,1,Douwe Egberts Grand aroma mletá káva,https://cdn.rohlik.cz/images/grocery/products/1287341/1287341-1562938786.jpg,"['8594001661800', '8594001661381']","[49, 84, 154]",256,,
39,2830,900441,1,Tchibo Family pražená mletá káva,https://cdn.rohlik.cz/images/grocery/products/1287347/1287347-1475152589.jpg,"['4006067864698', '4006067864681']","[151, 89, 45]",260,,
40,2290,900444,1,Pickwick čaj Průdušky,https://cdn.rohlik.cz/images/grocery/products/1287361/1287361-1563454759.jpg,"['8594001660421', '18594001660428']","[81, 70, 81]",40,,
41,2836,900471,2,Lifefood BIO Čokoláda 80% Chocolate Raw Bar,https://cdn.rohlik.cz/images/grocery/products/1287395/1287395-1503413875.jpg,"['8594071484101', '8594071484002']","[11, 79, 160]",80,,
42,66,900501,1,Sonnentor BIO Čaj Balzám na nervy,https://cdn.rohlik.cz/images/grocery/products/1287457/1287457-1651047815568.jpg,"['9004145027039', '9004145327030']","[124, 72, 85]",60,,
43,2933,900513,1,Sonnentor BIO Čaj Čepice plná spánku,https://cdn.rohlik.cz/images/grocery/products/1287485/1287485-1651047853410.jpg,"['900415327078', '9004145027077']","[82, 71, 124]",62,,
44,2036,900516,1,Sonnentor BIO Čaj Dobrá nálada,https://cdn.rohlik.cz/images/grocery/products/1287487/1287487-1651047478027.jpg,"['9004145322561', '9004145022560']","[82, 74, 126]",62,,
45,505,900522,1,Sonnentor BIO Čaj Lehčí než pírko,https://cdn.rohlik.cz/images/grocery/products/1287493/1287493-1651047925933.jpg,"['', '9004145027091']","[81, 72, 126]",70,,
46,156,900525,1,Sonnentor BIO Čaj Meduňka citronová sypaný,https://cdn.rohlik.cz/images/grocery/products/1287499/1287499-1651046696879.jpg,"['9004145002081', '9004145302082']","[63, 103, 214]",68,,
47,297,900528,1,Sonnentor BIO Poznávací sada čajů „Ochutnej“,https://cdn.rohlik.cz/images/grocery/products/1287501/1287501-1634040548564.jpg,"['9004145026193', '9004145108929']","[120, 70, 180]",71,,
48,621,900531,1,Sonnentor BIO Čaj Pro dobrý pocit v břiše,https://cdn.rohlik.cz/images/grocery/products/1287503/1287503-1651047775850.jpg,['9004145027015'],"[84, 71, 124]",60,,
49,2987,900537,1,Sonnentor BIO Bobkový list celý,https://cdn.rohlik.cz/images/grocery/products/1287521/1287521-1651046968140.jpg,"['10008102', '9004145303355', '9004145003354']","[42, 56, 112]",18,,
50,3021,900540,1,Sonnentor BIO Curry sladké mleté,https://cdn.rohlik.cz/images/grocery/products/1287527/1287527-1586517278.jpg,"['9004145750784', '9004145008762']","[110, 35, 55]",58,,
51,308,900549,1,Sonnentor BIO Majoránka,https://cdn.rohlik.cz/images/grocery/products/1287545/1287545-1595236197.jpg,"['9004145753990', '9004145006683']","[110, 35, 55]",20,,
52,302,900555,1,Sonnentor BIO Pepř barevný celý,https://cdn.rohlik.cz/images/grocery/products/1287549/1287549-1650389206839.jpg,"['9004145750821', '9004145008786']","[110, 35, 55]",58,,
53,627,900558,1,Sonnentor BIO Pepř černý celý,https://cdn.rohlik.cz/images/grocery/products/1287551/1287551-1593384198.jpg,"['9004145750869', '9004145008809']","[110, 35, 55]",58,,
54,176,900561,1,Sonnentor BIO Tymián,https://cdn.rohlik.cz/images/grocery/products/1287557/1287557-1651047239436.jpg,"['9004145754027', '9004145006669', '9004145003187']","[112, 38, 57]",28,,
55,2053,900597,2,Nutrifree Panfette Domácí krájený chléb bez lepku,https://cdn.rohlik.cz/images/grocery/products/1287749/1287749-1673985206505.jpg,['8008696026092'],"[63, 183, 245]",394,,
56,2454,900636,1,Holle BIO Špaldová kaše vhodná od 4. měsíce,https://cdn.rohlik.cz/images/grocery/products/1287911/1287911-1603729589.jpg,"['7640104952343', '7640104951247', '7640104952039']","[61, 129, 206]",302,,
57,532,900639,1,Holle BIO Rýžová kaše,https://cdn.rohlik.cz/images/grocery/products/1287915/1287915-1603729359.jpg,"['7640104951230', '7640104952329', '7640104952015']","[62, 126, 204]",300,,
58,88,900675,1,Hamé Bůčková pomazánka,https://cdn.rohlik.cz/images/grocery/products/1287963/1287963-1665125229675.jpg,"['18595139751491', '8595139751494']","[31, 82, 83]",110,,
59,214,900696,1,Kávoviny Melta instant,https://cdn.rohlik.cz/images/grocery/products/1288011/1288011-1612785642868.jpg,"['8594000774723', '8594000774716']","[150, 99, 99]",302,,
