,Unnamed: 0,picker_host,wms_sku_id,sku_name,sku_weight_g,sku_dimensions_mm,task_success,pick_success,place_success,task_total,pick_total,place_total
51,51,ropi01,1391201,Linteo Baby Vlhčené ubrousky aqua sensitive,284.0,"[40, 210, 100]",31,26.0,24.0,38,38,26
59,59,ropi01,1396348,Whiskas Kapsičky klasický výběr ve šťávě pro dospělé kočky 4x100 g,410.0,"[140, 190, 30]",42,44.0,42.0,46,46,44
84,84,ropi01,1412478,Arax Rýže černá střednězrnná,305.0,"[140, 85, 40]",34,32.0,31.0,35,35,32
133,133,ropi01,1441613,o.b. Tampony Organic Super,211.0,"[53, 121, 31]",40,33.0,33.0,40,40,33
134,134,ropi01,1441618,o.b. Tampony Organic Normal,211.0,"[53, 105, 27]",31,19.0,19.0,34,33,19
138,138,ropi01,1443843,Pulze Copper,312.0,"[15, 12, 7]",1,1.0,1.0,1,1,1
152,152,ropi01,1456073,VUSE zařízení ePod 2 Black,97.0,"[12, 4, 2]",4,3.0,3.0,4,4,3
161,161,ropi01,1456118,VUSE zařízení ePod 2 Blue,97.0,"[12, 4, 2]",2,2.0,2.0,2,2,2
233,233,ropi01,1483220,Beginnings Vlhčené splachovatelné ubrousky,420.0,"[110, 230, 42]",16,17.0,13.0,21,20,17
248,248,ropi01,1490330,Propesko Mistr Filetky s kuřecím a krůtím v omáčce pro psy (4×85 g),356.0,"[145, 215, 30]",3,1.0,1.0,4,4,1
249,249,ropi01,1490335,Propesko Mistr Filetky s hovězím a zvěřinou v omáčce pro psy (4×85 g),356.0,"[145, 215, 30]",1,1.0,1.0,1,1,1
367,367,ropi01,1757493,Perfect Fit Natural Vitality Kapsičky s mořskou rybou a lososem pro dospělé kočky (6×50 g),349.0,"[116, 80, 60]",4,4.0,4.0,4,4,4
372,372,ropi01,1758879,Savo Vlhčené čisticí ubrousky levandule,353.0,"[46, 205, 110]",5,5.0,5.0,5,5,5
539,539,ropi01,1769607,Waterwipes BIO Odbouratené vlhčené ubrousky,550.0,"[50, 90, 210]",2,1.0,1.0,2,2,1
548,548,ropi01,1802835,"Aqua Wipes EKO Rozložitelné vlhčené ubrousky s 99,3 % vody",310.0,"[35, 190, 100]",3,0.0,0.0,3,3,0
594,594,ropi01,1807227,Pet Farm Family BIO Poctivý vývar pro psy a kočky kuřecí,320.0,"[83, 75, 75]",6,6.0,6.0,6,6,6
596,596,ropi01,1807251,Pet Farm Family BIO Poctivý vývar pro psy a kočky hovězí,320.0,"[83, 75, 75]",4,4.0,4.0,4,4,4
597,597,ropi01,1807257,Pet Farm Family Poctivý vývar pro psy a kočky MSC losos,320.0,"[83, 75, 75]",1,1.0,1.0,1,1,1
598,598,ropi01,1807263,Pet Farm Family Poctivý vývar pro psy a kočky krůtí,320.0,"[83, 75, 75]",1,1.0,1.0,1,1,1
599,599,ropi01,1807269,Pet Farm Family Poctivý vývar pro psy a kočky zvěřinový,320.0,"[83, 75, 75]",1,1.0,1.0,1,1,1
763,763,ropi01,1830879,Pearl River Bridge krájený růžový zázvor,220.0,"[165, 135, 10]",14,9.0,9.0,14,14,9
867,867,ropi01,899748,Linteo Baby Dětské vlhčené ubrousky s měsíčkem lékařským 72 ks,346.0,"[64, 106, 218]",2,4.0,3.0,4,4,4
958,958,ropi01,905262,Linteo Baby Dětské vlhčené ubrousky ultra sensitive 64 ks,342.0,"[74, 110, 244]",24,18.0,17.0,26,26,18
1017,1017,ropi01,908925,"Attitude Vlhčené ubrousky, bez vůně",460.0,"[53, 109, 194]",15,14.0,14.0,15,15,14
1066,1066,ropi01,914625,HiPP Babysanft Vlhčený toaletní papír,236.0,"[57, 99, 160]",47,41.0,41.0,48,48,41
1138,1138,ropi01,920337,Lagris Čočka beluga,253.0,"[43, 85, 164]",309,245.0,237.0,322,322,245
