,Unnamed: 0,picker_host,wms_sku_id,sku_name,sku_weight_g,sku_dimensions_mm,task_success,pick_success,place_success,task_total,pick_total,place_total,p
0,0,ropi01,1073847,Sunar Piškotová kaše mléčná,288.0,"[200, 130, 60]",38,36.0,36.0,39,39,36,0.9230769230769231
32,32,ropi01,1346081,Vitana Bez lepku Hovězí bujón,70.0,"[27, 115, 57]",46,36.0,35.0,49,49,36,0.7346938775510204
33,33,ropi01,1346111,Vitana Bez lepku Zeleninový bujón,66.0,"[27, 115, 57]",48,42.0,42.0,49,49,42,0.8571428571428571
38,38,ropi01,1373995,Alnatura BIO Zeleninové tortellini,262.0,"[220, 147, 20]",23,23.0,23.0,23,23,23,1.0
39,39,ropi01,1374010,Alnatura BIO Sýrové tortellini,262.0,"[220, 147, 20]",16,16.0,16.0,16,16,16,1.0
41,41,ropi01,1374940,Alnatura BIO Gumoví medvídci mix,104.0,"[170, 120, 20]",31,30.0,30.0,31,31,30,0.967741935483871
42,42,ropi01,1375510,Alnatura BIO Směs semínek do salátu,110.0,"[180, 110, 40]",52,53.0,52.0,53,53,53,1.0
43,43,ropi01,1376155,Alnatura BIO Dětská kaše ovesno-banánová,286.0,"[170, 125, 45]",32,32.0,32.0,32,32,32,1.0
60,60,ropi01,1396393,Hami Mléčná kaše rýžová straciatella,267.0,"[200, 130, 46]",42,42.0,42.0,42,42,42,1.0
61,61,ropi01,1396408,Hami Mléčná kaše krupicová medová,267.0,"[200, 130, 46]",31,31.0,31.0,31,31,31,1.0
63,63,ropi01,1396573,Hami Mléčná kaše rýžová s vanilkovou příchutí,268.0,"[200, 130, 46]",16,16.0,16.0,16,16,16,1.0
72,72,ropi01,1403698,Křehké tyčinky kukuřičné bez lepku,90.0,"[190, 140, 55]",20,20.0,20.0,20,20,20,1.0
98,98,ropi01,1422218,REJ Rejfínci kukuřičný snack bez soli,22.0,"[200, 130, 45]",24,21.0,21.0,25,25,21,0.84
120,120,ropi01,1435853,Mäspoma BIO Cibule sušená,17.0,"[150, 110, 9]",45,44.0,44.0,45,45,44,0.9777777777777777
