,picker_host,wms_sku_id,sku_name,sku_weight_g,sku_dimensions_mm,task_success,pick_success,place_success,task_total,pick_total,place_total
0,ropi01,1073847,Sunar Piškotová kaše mléčná,288.0,"[200, 130, 60]",38,36.0,36.0,39,39,36
1,ropi01,1085232,VEPY Žitné placky celozrnné,105.0,"[100, 300, 140]",13,16.0,14.0,19,18,16
2,ropi01,1106826,Domestos Power 5 Limetka tuhý WC blok triopack 3 x 55g,220.0,"[167, 162, 40]",22,22.0,22.0,22,22,22
3,ropi01,1117830,Domestos Power 5+ Blue Water Ocean WC blok 3 x 55g,231.0,"[200, 170, 40]",35,35.0,35.0,35,35,35
4,ropi01,1292472,Somat Čistič myčky při plném cyklu,120.0,"[220, 143, 32]",55,51.0,51.0,57,57,51
5,ropi01,1292667,Brit Mono protein Konzerva pro psy – hovězí,462.0,"[110, 72, 72]",77,56.0,55.0,81,80,56
6,ropi01,1293582,West Red XL cigaretový tabák,105.0,"[122, 94, 118]",13,13.0,13.0,13,13,13
7,ropi01,1294887,Marty Monoprotein 100% maso pro psy – vepřové,460.0,"[108, 75, 75]",25,20.0,20.0,25,25,20
8,ropi01,1296597,Purina ONE Adult Kuře se zelenými fazolkami ve šťávě pro kočky,90.0,"[140, 93, 15]",5,5.0,5.0,5,5,5
9,ropi01,1298006,Shake-it Protein snack thajské curry,70.0,"[225, 100, 40]",13,13.0,13.0,13,13,13
10,ropi01,1300391,Baileys čokoládové truffle pralinky v tubě,400.0,"[268, 80, 80]",6,6.0,6.0,6,6,6
11,ropi01,1301831,Oxalis BIO Heřmánek pravý,50.0,"[170, 80, 50]",61,60.0,60.0,61,61,60
12,ropi01,1301846,Oxalis Máta peprná,48.0,"[170, 80, 50]",3,3.0,3.0,3,3,3
13,ropi01,1302011,Oxalis Balzám na nervy,90.0,"[170, 80, 50]",2,2.0,2.0,2,2,2
14,ropi01,1303049,Beauty Formulas Čistící houbička na pleť z konjacu,10.0,"[170, 130, 50]",33,32.0,32.0,33,33,32
15,ropi01,1303844,Hami Mléčná kaše se 7 obilninami s banánem a jahodami,220.0,"[250, 135, 52]",61,61.0,61.0,62,62,61
16,ropi01,1303859,"Hami Mléčná kaše ovesno-žitná s banánem, jahodami a malinami",220.0,"[250, 135, 52]",33,33.0,33.0,33,33,33
17,ropi01,1303904,Hami Mléčná kaše ovesno-žitná s jablkem a hruškou,220.0,"[250, 135, 52]",20,21.0,20.0,21,21,21
18,ropi01,1303919,"Hami Mléčná kaše se 7 obilninami s jablkem, banánem a pomerančem",220.0,"[250, 135, 52]",23,23.0,23.0,23,23,23
19,ropi01,1303934,Hami Mléčná kaše jáhlovo-rýžová s jablkem a banánem,220.0,"[250, 135, 52]",16,16.0,16.0,16,16,16
20,ropi01,1304264,Kneipp Sůl do koupele goodbye stress,60.0,"[150, 90, 12]",12,12.0,12.0,12,12,12
21,ropi01,1306949,"VELO Freeze X-Strong (10,9 mg)",14.0,"[20, 85, 85]",20,10.0,10.0,23,23,10
22,ropi01,1308914,Joyetech eGo Pod elektronická cigareta 1000mAh Silver,73.0,"[100, 35, 30]",1,0.0,,2,2,0
23,ropi01,1309739,Brit Premium by Nature Chicken & Liver tyčinky pro kočky,17.0,"[150, 100, 20]",19,14.0,14.0,27,21,14
24,ropi01,1314119,JOXTY ENJOY Bramborové chipsy s mrkví a cibulí,44.0,"[260, 160, 35]",13,13.0,13.0,13,13,13
25,ropi01,1314914,Lorenz Arašídy pražené s kořeněnou pikantní příchutí,150.0,"[135, 95, 40]",26,24.0,24.0,27,26,24
26,ropi01,1341521,Leros Dětský čaj Klidné sny,40.0,"[80, 73, 65]",90,82.0,81.0,91,91,82
27,ropi01,1341596,Dilmah Zelený čaj Jasmín,60.0,"[78, 130, 78]",53,52.0,52.0,53,53,52
28,ropi01,1341626,Leros Imunita max Echinacea a sedmikráska,30.0,"[80, 73, 65]",101,92.0,92.0,101,101,92
29,ropi01,1341761,Neutrogena Balzám na rty (SPF 4),20.0,"[120, 75, 20]",11,10.0,10.0,11,11,10
30,ropi01,1345196,"Hamánek Ovocná kapsička jahoda, meruňka a jablko",109.0,"[160, 78, 36]",17,16.0,16.0,17,17,16
31,ropi01,1345451,Hamánek Ovocná kapsička jablko a mrkev,110.0,"[160, 78, 36]",28,25.0,25.0,29,29,25
32,ropi01,1346081,Vitana Bez lepku Hovězí bujón,70.0,"[27, 115, 57]",46,36.0,35.0,49,49,36
