,week,picker_host,wms_sku_id,sku_name,sku_weight_g,sku_dimensions_mm,task_success,pick_success,place_success,task_total,pick_total,place_total
0,0,ropi01,1073847,Sunar Piškotová kaše mléčná,288.0,"[200, 130, 60]",15,15.0,15.0,15,15,15
1,0,ropi01,1085232,VEPY Žitné placky celozrnné,105.0,"[100, 300, 140]",6,7.0,6.0,7,7,7
2,0,ropi01,1106826,Domestos Power 5 Limetka tuhý WC blok triopack 3 x 55g,220.0,"[167, 162, 40]",3,3.0,3.0,3,3,3
3,0,ropi01,1117830,Domestos Power 5+ Blue Water Ocean WC blok 3 x 55g,231.0,"[200, 170, 40]",4,4.0,4.0,4,4,4
4,0,ropi01,1292472,Somat Čistič myčky při plném cyklu,120.0,"[220, 143, 32]",13,11.0,11.0,13,13,11
5,0,ropi01,1292667,Brit Mono protein Konzerva pro psy – hovězí,462.0,"[110, 72, 72]",9,5.0,5.0,9,9,5
6,0,ropi01,1294887,Marty Monoprotein 100% maso pro psy – vepřové,460.0,"[108, 75, 75]",8,6.0,6.0,8,8,6
7,0,ropi01,1298006,Shake-it Protein snack thajské curry,70.0,"[225, 100, 40]",2,2.0,2.0,2,2,2
8,0,ropi01,1300391,Baileys čokoládové truffle pralinky v tubě,400.0,"[268, 80, 80]",2,2.0,2.0,2,2,2
9,0,ropi01,1301831,Oxalis BIO Heřmánek pravý,50.0,"[170, 80, 50]",18,18.0,18.0,18,18,18
10,0,ropi01,1303049,Beauty Formulas Čistící houbička na pleť z konjacu,10.0,"[170, 130, 50]",4,4.0,4.0,4,4,4
11,0,ropi01,1303844,Hami Mléčná kaše se 7 obilninami s banánem a jahodami,220.0,"[250, 135, 52]",4,4.0,4.0,4,4,4
12,0,ropi01,1303859,"Hami Mléčná kaše ovesno-žitná s banánem, jahodami a malinami",220.0,"[250, 135, 52]",3,3.0,3.0,3,3,3
13,0,ropi01,1303904,Hami Mléčná kaše ovesno-žitná s jablkem a hruškou,220.0,"[250, 135, 52]",2,2.0,2.0,2,2,2
14,0,ropi01,1303934,Hami Mléčná kaše jáhlovo-rýžová s jablkem a banánem,220.0,"[250, 135, 52]",4,4.0,4.0,4,4,4
15,0,ropi01,1304264,Kneipp Sůl do koupele goodbye stress,60.0,"[150, 90, 12]",2,2.0,2.0,2,2,2
16,0,ropi01,1309739,Brit Premium by Nature Chicken & Liver tyčinky pro kočky,17.0,"[150, 100, 20]",3,3.0,3.0,4,3,3
17,0,ropi01,1314119,JOXTY ENJOY Bramborové chipsy s mrkví a cibulí,44.0,"[260, 160, 35]",1,1.0,1.0,1,1,1
18,0,ropi01,1314914,Lorenz Arašídy pražené s kořeněnou pikantní příchutí,150.0,"[135, 95, 40]",2,1.0,1.0,2,2,1
19,0,ropi01,1341521,Leros Dětský čaj Klidné sny,40.0,"[80, 73, 65]",14,12.0,12.0,14,14,12
20,0,ropi01,1341596,Dilmah Zelený čaj Jasmín,60.0,"[78, 130, 78]",6,6.0,6.0,6,6,6
21,0,ropi01,1341626,Leros Imunita max Echinacea a sedmikráska,30.0,"[80, 73, 65]",23,23.0,23.0,23,23,23
22,0,ropi01,1345196,"Hamánek Ovocná kapsička jahoda, meruňka a jablko",109.0,"[160, 78, 36]",12,11.0,11.0,12,12,11
23,0,ropi01,1345451,Hamánek Ovocná kapsička jablko a mrkev,110.0,"[160, 78, 36]",5,4.0,4.0,5,5,4
24,0,ropi01,1346081,Vitana Bez lepku Hovězí bujón,70.0,"[27, 115, 57]",5,3.0,3.0,5,5,3
25,0,ropi01,1346111,Vitana Bez lepku Zeleninový bujón,66.0,"[27, 115, 57]",8,8.0,8.0,8,8,8
26,0,ropi01,1357562,Liqua American Blend  18 mg CZ,20.0,"[122, 94, 118]",0,0.0,,2,2,0
27,0,ropi01,1357652,Liqua Traditional Tobacco 18 mg CZ,20.0,"[122, 94, 118]",0,0.0,,1,1,0
28,0,ropi01,1362280,Dr.Oetker Černé kakao,95.0,"[158, 100, 40]",1,1.0,1.0,1,1,1
29,0,ropi01,1373995,Alnatura BIO Zeleninové tortellini,262.0,"[220, 147, 20]",4,4.0,4.0,4,4,4
30,0,ropi01,1374010,Alnatura BIO Sýrové tortellini,262.0,"[220, 147, 20]",6,6.0,6.0,6,6,6
31,0,ropi01,1374355,Alnatura BIO Křupavé ovesné müsli s lesními plody,380.0,"[190, 115, 70]",5,5.0,5.0,5,5,5
32,0,ropi01,1374940,Alnatura BIO Gumoví medvídci mix,104.0,"[170, 120, 20]",5,5.0,5.0,5,5,5
33,0,ropi01,1375510,Alnatura BIO Směs semínek do salátu,110.0,"[180, 110, 40]",11,11.0,11.0,11,11,11
34,0,ropi01,1376155,Alnatura BIO Dětská kaše ovesno-banánová,286.0,"[170, 125, 45]",5,5.0,5.0,5,5,5
35,0,ropi01,1377025,Alnatura BIO Kopřivový čaj,52.0,"[162, 65, 45]",5,5.0,5.0,5,5,5
36,0,ropi01,1377085,Alnatura BIO Pudinková rýže,505.0,"[145, 80, 55]",8,8.0,8.0,8,8,8
37,0,ropi01,1377100,Alnatura BIO Mátový čaj,52.0,"[160, 66, 46]",15,15.0,15.0,15,15,15
38,0,ropi01,1377385,Alnatura BIO Čočkový hrnec,470.0,"[110, 75, 75]",1,1.0,1.0,2,2,1
39,0,ropi01,1377490,"Alnatura BIO Bourbon vanilkový cukr, 3x8g",26.0,"[121, 70, 15]",6,6.0,6.0,6,6,6
40,0,ropi01,1384751,Akinu Trénink jehněčí lupínky s treskou pro psy,130.0,"[200, 140, 20]",3,3.0,3.0,3,3,3
41,0,ropi01,1391201,Linteo Baby Vlhčené ubrousky aqua sensitive,284.0,"[40, 210, 100]",3,3.0,3.0,3,3,3
42,0,ropi01,1391326,Masuyamiso Ramen polévka Tantan,52.0,"[5, 70, 115]",2,2.0,2.0,2,2,2
43,0,ropi01,1391451,Yutaka Sushi rýže krátkozrnná,550.0,"[158, 44, 108]",8,8.0,8.0,8,8,8
44,0,ropi01,1391601,Yutaka Mořská řasa Wakame,40.0,"[35, 132, 195]",14,14.0,14.0,15,15,14
45,0,ropi01,1391676,Põnn BIO Kapsička meruňka s jablkem,108.0,"[164, 75, 38]",1,1.0,1.0,1,1,1
46,0,ropi01,1391726,Põnn BIO Kapsička hovězí maso se zeleninovým pyré,120.0,"[164, 75, 38]",7,7.0,7.0,8,8,7
47,0,ropi01,1393226,It´s Natural BIO Sušená rajčata s medvědím česnekem,24.0,"[160, 100, 10]",7,7.0,7.0,7,7,7
48,0,ropi01,1396348,Whiskas Kapsičky klasický výběr ve šťávě pro dospělé kočky 4x100 g,410.0,"[140, 190, 30]",5,5.0,5.0,5,5,5
49,0,ropi01,1396393,Hami Mléčná kaše rýžová straciatella,267.0,"[200, 130, 46]",3,3.0,3.0,3,3,3
50,0,ropi01,1396408,Hami Mléčná kaše krupicová medová,267.0,"[200, 130, 46]",2,2.0,2.0,2,2,2
51,0,ropi01,1396513,Alviana BIO Classic Balzám na rty jojobový,5.0,"[120, 75, 20]",11,5.0,5.0,22,16,5
52,0,ropi01,1398433,Heera Koriandr mletý,110.0,"[180, 110, 10]",5,4.0,4.0,6,6,4
53,0,ropi01,1398463,Heera Tandoori masala,100.0,"[180, 110, 10]",13,9.0,9.0,14,14,9
54,0,ropi01,1398553,Heera Kari Madras,104.0,"[180, 110, 10]",7,7.0,7.0,7,7,7
55,0,ropi01,1403318,VEPY Bramborové mini placky,52.0,"[210, 150, 80]",6,6.0,6.0,6,6,6
56,0,ropi01,1403698,Křehké tyčinky kukuřičné bez lepku,90.0,"[190, 140, 55]",1,1.0,1.0,1,1,1
57,0,ropi01,1407193,"Freche Freunde BIO Zeleninové tyčinky s rajčetem, kukuřicí a hráškem",34.0,"[160, 150, 60]",6,6.0,6.0,6,6,6
58,0,ropi01,1408118,Wrigley's Orbit Žvýkačky bez cukru s melounovou příchutí,82.0,"[81, 53, 53]",4,4.0,4.0,5,5,4
59,0,ropi01,1410858,Felix Fantastic Kapsičky s hovězím a kuřecím v želé pro kočky (4×85 g),365.0,"[140, 190, 33]",9,10.0,9.0,13,12,10
60,0,ropi01,1410883,Felix Fantastic Kapsičky s lososem a platýsem v želé pro kočky (4×85 g),365.0,"[140, 190, 33]",10,11.0,10.0,11,11,11
61,0,ropi01,1411788,"Hamánek Ovocná kapsička jablko, mrkev a červená řepa",109.0,"[160, 78, 36]",18,15.0,15.0,18,18,15
62,0,ropi01,1411808,Hamánek Ovocná kapsička jablko a dýně,109.0,"[170, 68, 36]",20,20.0,20.0,20,20,20
63,0,ropi01,1411818,"Hamánek Ovocná kapsička banán, broskev a jablko",109.0,"[170, 68, 36]",16,16.0,16.0,16,16,16
64,0,ropi01,1411828,"Hamánek Ovocná kapsička jablko, banán a špenát",109.0,"[170, 68, 36]",16,12.0,12.0,17,17,12
65,0,ropi01,1412478,Arax Rýže černá střednězrnná,305.0,"[140, 85, 40]",3,4.0,3.0,4,4,4
66,0,ropi01,1412508,Arax Fazole mungo,514.0,"[160, 100, 55]",7,7.0,7.0,7,7,7
67,0,ropi01,1412513,Arax Bulgur s rajčaty a olivami,332.0,"[160, 80, 50]",9,9.0,9.0,9,9,9
